time_stamp,sensor_index,humidity_a,humidity_b,temperature_a,temperature_b,pressure_a,pressure_b,pm2.5_atm_a,pm2.5_atm_b,pm2.5_cf_1_a,pm2.5_cf_1_b
1570899600,24947,35.567,null,82.333,null,1003.438,null,21.003,null,24.543,null
1570863600,24947,35.0,null,80.6,null,1003.533,null,0.807,null,0.807,null
1570910400,24947,33.0,null,88.8,null,1003.51,null,17.873,null,17.873,null
1570860000,24947,34.867,null,81.0,null,1003.323,null,0.639,null,0.639,null
1570852800,24947,34.0,null,82.0,null,1003.248,null,0.849,null,0.849,null
1570856400,24947,34.0,null,81.367,null,1003.334,null,0.808,null,0.808,null
1570917600,24947,33.0,null,88.0,null,1003.512,null,8.538,null,8.538,null
1570914000,24947,32.8,null,88.666,null,1003.577,null,11.41,null,11.41,null
1570881600,24947,35.0,null,80.2,null,1004.026,null,2.513,null,2.513,null
1570867200,24947,35.034,null,80.434,null,1003.995,null,3.147,null,3.147,null
1570129200,24947,33.0,null,90.0,null,998.896,null,18.219,null,18.219,null
1570089600,24947,37.6,null,78.166,null,1012.406,null,8.396,null,8.396,null
1570100400,24947,37.3,null,82.166,null,1008.478,null,3.067,null,3.067,null
1570143600,24947,34.0,null,85.166,null,998.607,null,9.122,null,9.12,null
1570082400,24947,36.733,null,80.2,null,1014.521,null,9.296,null,9.296,null
1570060800,24947,36.0,null,83.9,null,1020.621,null,6.127,null,6.127,null
1570096800,24947,38.0,null,78.767,null,1009.014,null,5.107,null,5.107,null
1570071600,24947,36.567,null,82.0,null,1017.468,null,4.24,null,4.239,null
1570064400,24947,36.0,null,83.0,null,1019.557,null,5.524,null,5.524,null
1570107600,24947,33.433,null,85.8,null,1004.791,null,2.276,null,2.276,null
1570114800,24947,33.5,null,88.7,null,1001.784,null,1.125,null,1.125,null
1570086000,24947,36.966,null,79.166,null,1013.561,null,11.829,null,11.829,null
1570093200,24947,38.0,null,78.0,null,1011.014,null,6.405,null,6.405,null
1570068000,24947,36.034,null,82.233,null,1018.462,null,5.087,null,5.087,null
1570111200,24947,33.633,null,86.5,null,1003.338,null,1.704,null,1.704,null
1570122000,24947,32.3,null,90.0,null,998.947,null,2.939,null,2.939,null
1570140000,24947,34.0,null,86.367,null,998.617,null,11.941,null,11.941,null
1570118400,24947,33.0,null,89.834,null,1000.239,null,0.69,null,0.69,null
1570136400,24947,33.0,null,87.7,null,999.255,null,16.79,null,16.79,null
1570078800,24947,36.933,null,81.0,null,1015.365,null,3.085,null,3.085,null
1570132800,24947,32.834,null,89.034,null,999.394,null,22.141,null,22.418,null
1570075200,24947,36.933,null,81.034,null,1016.575,null,3.431,null,3.431,null
1570125600,24947,32.166,null,90.0,null,998.787,null,21.61,null,21.943,null
1570104000,24947,34.934,null,84.633,null,1006.916,null,2.716,null,2.716,null
1570730400,24947,36.6,null,84.966,null,999.658,null,1.804,null,1.804,null
1570716000,24947,39.867,null,75.533,null,1000.956,null,2.699,null,2.699,null
1570701600,24947,38.0,null,75.0,null,1004.411,null,2.716,null,2.716,null
1570712400,24947,39.0,null,75.0,null,1001.731,null,1.724,null,1.724,null
1570683600,24947,38.0,null,75.0,null,1005.784,null,1.062,null,1.062,null
1570723200,24947,38.9,null,80.5,null,1000.189,null,3.139,null,3.139,null
1570719600,24947,39.3,null,76.833,null,1000.556,null,5.93,null,5.93,null
1570748400,24947,36.0,null,83.2,null,999.557,null,1.477,null,1.477,null
1570708800,24947,39.0,null,75.0,null,1002.433,null,1.724,null,1.724,null
1570680000,24947,38.0,null,75.222,null,1005.576,null,1.254,null,1.254,null
1570737600,24947,35.559,null,86.867,null,999.505,null,3.032,null,3.032,null
1570705200,24947,38.8,null,75.0,null,1003.375,null,2.33,null,2.33,null
1570676400,24947,38.0,null,76.0,null,1005.267,null,1.596,null,1.596,null
1570744800,24947,36.0,null,84.334,null,999.446,null,1.857,null,1.857,null
1570741200,24947,35.2,null,85.6,null,999.32,null,2.517,null,2.517,null
1570726800,24947,37.233,null,83.067,null,999.669,null,2.229,null,2.229,null
1570734000,24947,36.0,null,86.367,null,999.808,null,3.178,null,3.178,null
1570687200,24947,38.0,null,75.0,null,1005.977,null,1.381,null,1.381,null
1570694400,24947,39.0,null,75.0,null,1006.005,null,4.472,null,4.472,null
1570690800,24947,38.166,null,75.0,null,1006.117,null,3.865,null,3.865,null
1570698000,24947,38.966,null,75.0,null,1005.251,null,3.55,null,3.55,null
1570672800,24947,37.9,null,76.0,null,1005.08,null,2.055,null,2.055,null
1570669200,24947,37.067,null,76.034,null,1004.757,null,2.682,null,2.682,null
1570665600,24947,37.133,null,77.0,null,1004.333,null,3.689,null,3.689,null
1570147200,24947,34.0,null,84.1,null,998.514,null,7.125,null,7.125,null
1570230000,24947,35.0,null,83.834,null,1011.24,null,5.108,null,5.108,null
1570168800,24947,36.0,null,80.0,null,995.702,null,20.1,null,22.446,null
1570186800,24947,33.8,null,87.666,null,1001.177,null,26.542,null,26.748,null
1570219200,24947,34.0,null,85.367,null,1010.375,null,4.907,null,4.907,null
1570201200,24947,33.5,null,87.633,null,1006.801,null,8.5,null,8.5,null
1570172400,24947,36.433,null,80.0,null,995.145,null,39.448,null,47.216,null
1570179600,24947,36.267,null,83.667,null,996.618,null,29.982,null,30.973,null
1570197600,24947,33.6,null,86.567,null,1005.864,null,12.473,null,12.473,null
1570222800,24947,34.767,null,85.0,null,1010.585,null,6.502,null,6.502,null
1570154400,24947,35.0,null,82.566,null,997.972,null,4.11,null,4.11,null
1570158000,24947,35.0,null,82.0,null,997.247,null,3.215,null,3.215,null
1570226400,24947,35.0,null,84.0,null,1010.882,null,5.837,null,5.837,null
1570161600,24947,35.0,null,81.2,null,996.594,null,3.046,null,3.046,null
1570204800,24947,33.0,null,88.0,null,1007.571,null,7.009,null,7.009,null
1570212000,24947,34.0,null,86.867,null,1009.75,null,5.25,null,5.25,null
